item,questions,category,subcategory,type,post_minus_pre_scores,phase
82,1. Gözlerini kapa ,reading,silent/command,,0,1
83,2. Üfle,reading,silent/command,,0,1
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,1
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,1
86,K,reading,letter/number,,0,1
87,A,reading,letter/number,,2,1
88, S,reading,letter/number,,0,1
89,7,reading,letter/number,,0,1
90,13,reading,letter/number,,1,1
91,1. Elmalar,reading,word,,0,1
92,2. Kedi ve köpek ,reading,word,,0,1
93,3. Kurþun kalem kutusu ,reading,word,,0,1
94,4. Saat onu on geçiyor,reading,word,,0,1
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,1
96, 1. Elmalar,reading,matching,,-1,1
97,2. Kedi ve köpek ,reading,matching,,0,1
98,3. Kurþun kalem kutusu,reading,matching,,0,1
99,4. Saat onu on geçiyor ,reading,matching,,0,1
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,1
101,Paragraph,reading,paragraph,,0,1
82,1. Gözlerini kapa ,reading,silent/command,,0,2
83,2. Üfle,reading,silent/command,,0,2
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,2
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,2
86,K,reading,letter/number,,0,2
87,A,reading,letter/number,,0,2
88, S,reading,letter/number,,2,2
89,7,reading,letter/number,,1,2
90,13,reading,letter/number,,-1,2
91,1. Elmalar,reading,word,,0,2
92,2. Kedi ve köpek ,reading,word,,0,2
93,3. Kurþun kalem kutusu ,reading,word,,0,2
94,4. Saat onu on geçiyor,reading,word,,0,2
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,2
96, 1. Elmalar,reading,matching,,0,2
97,2. Kedi ve köpek ,reading,matching,,0,2
98,3. Kurþun kalem kutusu,reading,matching,,0,2
99,4. Saat onu on geçiyor ,reading,matching,,0,2
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,2
101,Paragraph,reading,paragraph,,0,2
