item,questions,category,subcategory,type,post_minus_pre_scores,phase
50,1. Alo,repetition,,,0,1
51,2.Sekiz ,repetition,,,0,1
52,3.Çeþme,repetition,,,0,1
53,4. Buzdolabi,repetition,,,0,1
54,5. Karyola,repetition,,,0,1
55,6. Patika ,repetition,,,0,1
56,7. Kahve fali,repetition,,,0,1
57,8. Dantel mendil,repetition,,,0,1
58,9. Daldaki karga gak dedi ,repetition,,,0,1
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,0,1
50,1. Alo,repetition,,,3,2
51,2.Sekiz ,repetition,,,1,2
52,3.Çeþme,repetition,,,2,2
53,4. Buzdolabi,repetition,,,2,2
54,5. Karyola,repetition,,,1,2
55,6. Patika ,repetition,,,3,2
56,7. Kahve fali,repetition,,,0,2
57,8. Dantel mendil,repetition,,,1,2
58,9. Daldaki karga gak dedi ,repetition,,,1,2
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,1,2
