item,questions,category,subcategory,type,scores,time
102,1. Bebekler sigara ……………… (ÝÇMEZ),grammar,,,0,1
103,2. Güneþ doðudan ……………… (DOÐAR),grammar,,,0,1
104,"3. Kýþ geldi, kar yaðýyor. Hava çok ………    (SOÐUK)",grammar,,,0,1
105,4. Cumartesi'den sonra gelen gün ………(PAZAR),grammar,,,0,1
106, 5. Dün gece yatmadan önce kitap …………(OKUDUM),grammar,,,0,1
107,6. Ali'nin hastalýðý geçti. Yarýn okula ……    (GÝDECEK),grammar,,,0,1
108,7. Annemin kocasý (benim) ………. (BABAM),grammar,,,0,1
109,8. Odanýn kapýsý …………. (KAPALI/AÇIK),grammar,,,0,1
110,9. Kaþým gözümün ……… (ÜSTÜNDE),grammar,,,0,1
111,"10. Ýki çocuðum var; biri oðlan, biri …………. (KIZ)",grammar,,,0,1
102,1. Bebekler sigara ……………… (ÝÇMEZ),grammar,,,0,2
103,2. Güneþ doðudan ……………… (DOÐAR),grammar,,,0,2
104,"3. Kýþ geldi, kar yaðýyor. Hava çok ………    (SOÐUK)",grammar,,,0,2
105,4. Cumartesi'den sonra gelen gün ………(PAZAR),grammar,,,0,2
106, 5. Dün gece yatmadan önce kitap …………(OKUDUM),grammar,,,0,2
107,6. Ali'nin hastalýðý geçti. Yarýn okula ……    (GÝDECEK),grammar,,,0,2
108,7. Annemin kocasý (benim) ………. (BABAM),grammar,,,2,2
109,8. Odanýn kapýsý …………. (KAPALI/AÇIK),grammar,,,0,2
110,9. Kaþým gözümün ……… (ÜSTÜNDE),grammar,,,0,2
111,"10. Ýki çocuðum var; biri oðlan, biri …………. (KIZ)",grammar,,,0,2
102,1. Bebekler sigara ……………… (ÝÇMEZ),grammar,,,0,3
103,2. Güneþ doðudan ……………… (DOÐAR),grammar,,,0,3
104,"3. Kýþ geldi, kar yaðýyor. Hava çok ………    (SOÐUK)",grammar,,,0,3
105,4. Cumartesi'den sonra gelen gün ………(PAZAR),grammar,,,2,3
106, 5. Dün gece yatmadan önce kitap …………(OKUDUM),grammar,,,0,3
107,6. Ali'nin hastalýðý geçti. Yarýn okula ……    (GÝDECEK),grammar,,,0,3
108,7. Annemin kocasý (benim) ………. (BABAM),grammar,,,4,3
109,8. Odanýn kapýsý …………. (KAPALI/AÇIK),grammar,,,0,3
110,9. Kaþým gözümün ……… (ÜSTÜNDE),grammar,,,0,3
111,"10. Ýki çocuðum var; biri oðlan, biri …………. (KIZ)",grammar,,,4,3
102,1. Bebekler sigara ……………… (ÝÇMEZ),grammar,,,0,4
103,2. Güneþ doðudan ……………… (DOÐAR),grammar,,,2,4
104,"3. Kýþ geldi, kar yaðýyor. Hava çok ………    (SOÐUK)",grammar,,,0,4
105,4. Cumartesi'den sonra gelen gün ………(PAZAR),grammar,,,2,4
106, 5. Dün gece yatmadan önce kitap …………(OKUDUM),grammar,,,0,4
107,6. Ali'nin hastalýðý geçti. Yarýn okula ……    (GÝDECEK),grammar,,,0,4
108,7. Annemin kocasý (benim) ………. (BABAM),grammar,,,4,4
109,8. Odanýn kapýsý …………. (KAPALI/AÇIK),grammar,,,0,4
110,9. Kaþým gözümün ……… (ÜSTÜNDE),grammar,,,0,4
111,"10. Ýki çocuðum var; biri oðlan, biri …………. (KIZ)",grammar,,,0,4
102,1. Bebekler sigara ……………… (ÝÇMEZ),grammar,,,2,5
103,2. Güneþ doðudan ……………… (DOÐAR),grammar,,,0,5
104,"3. Kýþ geldi, kar yaðýyor. Hava çok ………    (SOÐUK)",grammar,,,0,5
105,4. Cumartesi'den sonra gelen gün ………(PAZAR),grammar,,,2,5
106, 5. Dün gece yatmadan önce kitap …………(OKUDUM),grammar,,,0,5
107,6. Ali'nin hastalýðý geçti. Yarýn okula ……    (GÝDECEK),grammar,,,2,5
108,7. Annemin kocasý (benim) ………. (BABAM),grammar,,,4,5
109,8. Odanýn kapýsý …………. (KAPALI/AÇIK),grammar,,,0,5
110,9. Kaþým gözümün ……… (ÜSTÜNDE),grammar,,,0,5
111,"10. Ýki çocuðum var; biri oðlan, biri …………. (KIZ)",grammar,,,4,5
