item,questions,category,subcategory,type,scores,time
82,1. Gözlerini kapa ,reading,silent/command,,0,1
83,2. Üfle,reading,silent/command,,0,1
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,1
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,1
86,K,reading,letter/number,,0,1
87,A,reading,letter/number,,0,1
88, S,reading,letter/number,,0,1
89,7,reading,letter/number,,0,1
90,13,reading,letter/number,,0,1
91,1. Elmalar,reading,word,,0,1
92,2. Kedi ve köpek ,reading,word,,0,1
93,3. Kurþun kalem kutusu ,reading,word,,0,1
94,4. Saat onu on geçiyor,reading,word,,0,1
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,1
96, 1. Elmalar,reading,matching,,1,1
97,2. Kedi ve köpek ,reading,matching,,0,1
98,3. Kurþun kalem kutusu,reading,matching,,0,1
99,4. Saat onu on geçiyor ,reading,matching,,0,1
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,1
101,Paragraph,reading,paragraph,,0,1
82,1. Gözlerini kapa ,reading,silent/command,,0,2
83,2. Üfle,reading,silent/command,,0,2
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,2
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,2
86,K,reading,letter/number,,0,2
87,A,reading,letter/number,,0,2
88, S,reading,letter/number,,0,2
89,7,reading,letter/number,,0,2
90,13,reading,letter/number,,0,2
91,1. Elmalar,reading,word,,0,2
92,2. Kedi ve köpek ,reading,word,,0,2
93,3. Kurþun kalem kutusu ,reading,word,,0,2
94,4. Saat onu on geçiyor,reading,word,,0,2
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,2
96, 1. Elmalar,reading,matching,,0,2
97,2. Kedi ve köpek ,reading,matching,,0,2
98,3. Kurþun kalem kutusu,reading,matching,,0,2
99,4. Saat onu on geçiyor ,reading,matching,,0,2
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,2
101,Paragraph,reading,paragraph,,0,2
82,1. Gözlerini kapa ,reading,silent/command,,0,3
83,2. Üfle,reading,silent/command,,0,3
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,3
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,3
86,K,reading,letter/number,,0,3
87,A,reading,letter/number,,4,3
88, S,reading,letter/number,,0,3
89,7,reading,letter/number,,0,3
90,13,reading,letter/number,,2,3
91,1. Elmalar,reading,word,,0,3
92,2. Kedi ve köpek ,reading,word,,0,3
93,3. Kurþun kalem kutusu ,reading,word,,0,3
94,4. Saat onu on geçiyor,reading,word,,0,3
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,3
96, 1. Elmalar,reading,matching,,0,3
97,2. Kedi ve köpek ,reading,matching,,0,3
98,3. Kurþun kalem kutusu,reading,matching,,0,3
99,4. Saat onu on geçiyor ,reading,matching,,0,3
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,3
101,Paragraph,reading,paragraph,,0,3
82,1. Gözlerini kapa ,reading,silent/command,,0,4
83,2. Üfle,reading,silent/command,,0,4
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,4
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,4
86,K,reading,letter/number,,0,4
87,A,reading,letter/number,,4,4
88, S,reading,letter/number,,0,4
89,7,reading,letter/number,,0,4
90,13,reading,letter/number,,0,4
91,1. Elmalar,reading,word,,0,4
92,2. Kedi ve köpek ,reading,word,,0,4
93,3. Kurþun kalem kutusu ,reading,word,,0,4
94,4. Saat onu on geçiyor,reading,word,,0,4
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,4
96, 1. Elmalar,reading,matching,,0,4
97,2. Kedi ve köpek ,reading,matching,,0,4
98,3. Kurþun kalem kutusu,reading,matching,,0,4
99,4. Saat onu on geçiyor ,reading,matching,,0,4
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,4
101,Paragraph,reading,paragraph,,0,4
82,1. Gözlerini kapa ,reading,silent/command,,0,5
83,2. Üfle,reading,silent/command,,0,5
84,3. Iþaret parmaðýný göster,reading,silent/command,,0,5
85,4. Diþini fýrçalar gibi yap,reading,silent/command,,0,5
86,K,reading,letter/number,,0,5
87,A,reading,letter/number,,4,5
88, S,reading,letter/number,,4,5
89,7,reading,letter/number,,2,5
90,13,reading,letter/number,,2,5
91,1. Elmalar,reading,word,,0,5
92,2. Kedi ve köpek ,reading,word,,0,5
93,3. Kurþun kalem kutusu ,reading,word,,0,5
94,4. Saat onu on geçiyor,reading,word,,0,5
95,5. Çocuk bisikletin yanýnda duruyor,reading,word,,0,5
96, 1. Elmalar,reading,matching,,0,5
97,2. Kedi ve köpek ,reading,matching,,0,5
98,3. Kurþun kalem kutusu,reading,matching,,0,5
99,4. Saat onu on geçiyor ,reading,matching,,0,5
100,5. Çocuk bisikletin yanýnda duruyor,reading,matching,,0,5
101,Paragraph,reading,paragraph,,0,5
