item,questions,category,subcategory,type,scores,time
50,1. Alo,repetition,,,0,1
51,2.Sekiz ,repetition,,,0,1
52,3.Çeþme,repetition,,,0,1
53,4. Buzdolabi,repetition,,,0,1
54,5. Karyola,repetition,,,0,1
55,6. Patika ,repetition,,,0,1
56,7. Kahve fali,repetition,,,0,1
57,8. Dantel mendil,repetition,,,0,1
58,9. Daldaki karga gak dedi ,repetition,,,0,1
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,0,1
50,1. Alo,repetition,,,0,2
51,2.Sekiz ,repetition,,,0,2
52,3.Çeþme,repetition,,,0,2
53,4. Buzdolabi,repetition,,,0,2
54,5. Karyola,repetition,,,0,2
55,6. Patika ,repetition,,,0,2
56,7. Kahve fali,repetition,,,0,2
57,8. Dantel mendil,repetition,,,0,2
58,9. Daldaki karga gak dedi ,repetition,,,0,2
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,0,2
50,1. Alo,repetition,,,0,3
51,2.Sekiz ,repetition,,,0,3
52,3.Çeþme,repetition,,,0,3
53,4. Buzdolabi,repetition,,,0,3
54,5. Karyola,repetition,,,0,3
55,6. Patika ,repetition,,,0,3
56,7. Kahve fali,repetition,,,0,3
57,8. Dantel mendil,repetition,,,0,3
58,9. Daldaki karga gak dedi ,repetition,,,0,3
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,0,3
50,1. Alo,repetition,,,2,4
51,2.Sekiz ,repetition,,,0,4
52,3.Çeþme,repetition,,,2,4
53,4. Buzdolabi,repetition,,,2,4
54,5. Karyola,repetition,,,2,4
55,6. Patika ,repetition,,,2,4
56,7. Kahve fali,repetition,,,0,4
57,8. Dantel mendil,repetition,,,0,4
58,9. Daldaki karga gak dedi ,repetition,,,0,4
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,0,4
50,1. Alo,repetition,,,4,5
51,2.Sekiz ,repetition,,,2,5
52,3.Çeþme,repetition,,,2,5
53,4. Buzdolabi,repetition,,,2,5
54,5. Karyola,repetition,,,0,5
55,6. Patika ,repetition,,,4,5
56,7. Kahve fali,repetition,,,0,5
57,8. Dantel mendil,repetition,,,2,5
58,9. Daldaki karga gak dedi ,repetition,,,2,5
59,10.Tekir kedi pis suyu lýkýr likýr içti ,repetition,,,2,5
