ID,Set,Condition,Phase,Session,Response
armadillo,1,1,Pre,1,0
armadillo,1,1,Pre,2,0
armadillo,1,1,Pre,3,0
armadillo,1,1,Pre,4,0
armadillo,1,1,Tx,5,1
armadillo,1,1,Tx,6,1
armadillo,1,1,Tx,7,1
armadillo,1,1,Tx,8,0
armadillo,1,1,Tx,9,0
armadillo,1,1,Tx,10,0
armadillo,1,1,Post,11,1
armadillo,1,1,Post,12,1
armadillo,1,1,ThreeMo,13,0
armadillo,1,1,SixMo,14,0
armadillo,1,1,TwelveMo,15,0
basket,1,1,Pre,1,0
basket,1,1,Pre,2,0
basket,1,1,Pre,3,0
basket,1,1,Pre,4,0
basket,1,1,Tx,5,1
basket,1,1,Tx,6,1
basket,1,1,Tx,7,1
basket,1,1,Tx,8,1
basket,1,1,Tx,9,1
basket,1,1,Tx,10,1
basket,1,1,Post,11,1
basket,1,1,Post,12,0
basket,1,1,ThreeMo,13,1
basket,1,1,SixMo,14,1
basket,1,1,TwelveMo,15,1
catfish,1,1,Pre,1,0
catfish,1,1,Pre,2,0
catfish,1,1,Pre,3,0
catfish,1,1,Pre,4,1
catfish,1,1,Tx,5,1
catfish,1,1,Tx,6,1
catfish,1,1,Tx,7,1
catfish,1,1,Tx,8,1
catfish,1,1,Tx,9,1
catfish,1,1,Tx,10,1
catfish,1,1,Post,11,1
catfish,1,1,Post,12,1
catfish,1,1,ThreeMo,13,1
catfish,1,1,SixMo,14,1
catfish,1,1,TwelveMo,15,0
gorilla,1,1,Pre,1,0
gorilla,1,1,Pre,2,0
gorilla,1,1,Pre,3,0
gorilla,1,1,Pre,4,0
gorilla,1,1,Tx,5,1
gorilla,1,1,Tx,6,1
gorilla,1,1,Tx,7,1
gorilla,1,1,Tx,8,0
gorilla,1,1,Tx,9,1
gorilla,1,1,Tx,10,0
gorilla,1,1,Post,11,0
gorilla,1,1,Post,12,1
gorilla,1,1,ThreeMo,13,0
gorilla,1,1,SixMo,14,0
gorilla,1,1,TwelveMo,15,0
ladder,1,1,Pre,1,0
ladder,1,1,Pre,2,1
ladder,1,1,Pre,3,0
ladder,1,1,Pre,4,1
ladder,1,1,Tx,5,1
ladder,1,1,Tx,6,1
ladder,1,1,Tx,7,1
ladder,1,1,Tx,8,1
ladder,1,1,Tx,9,1
ladder,1,1,Tx,10,1
ladder,1,1,Post,11,1
ladder,1,1,Post,12,1
ladder,1,1,ThreeMo,13,1
ladder,1,1,SixMo,14,1
ladder,1,1,TwelveMo,15,0
ribs,1,1,Pre,1,0
ribs,1,1,Pre,2,0
ribs,1,1,Pre,3,0
ribs,1,1,Pre,4,0
ribs,1,1,Tx,5,1
ribs,1,1,Tx,6,1
ribs,1,1,Tx,7,1
ribs,1,1,Tx,8,1
ribs,1,1,Tx,9,1
ribs,1,1,Tx,10,1
ribs,1,1,Post,11,1
ribs,1,1,Post,12,1
ribs,1,1,ThreeMo,13,1
ribs,1,1,SixMo,14,1
ribs,1,1,TwelveMo,15,0
clip,1,1,Pre,1,0
clip,1,1,Pre,2,0
clip,1,1,Pre,3,0
clip,1,1,Pre,4,0
clip,1,1,Tx,5,1
clip,1,1,Tx,6,1
clip,1,1,Tx,7,1
clip,1,1,Tx,8,1
clip,1,1,Tx,9,1
clip,1,1,Tx,10,1
clip,1,1,Post,11,1
clip,1,1,Post,12,1
clip,1,1,ThreeMo,13,1
clip,1,1,SixMo,14,1
clip,1,1,TwelveMo,15,1
pimentos,1,1,Pre,1,0
pimentos,1,1,Pre,2,0
pimentos,1,1,Pre,3,0
pimentos,1,1,Pre,4,0
pimentos,1,1,Tx,5,1
pimentos,1,1,Tx,6,0
pimentos,1,1,Tx,7,1
pimentos,1,1,Tx,8,1
pimentos,1,1,Tx,9,0
pimentos,1,1,Tx,10,0
pimentos,1,1,Post,11,1
pimentos,1,1,Post,12,1
pimentos,1,1,ThreeMo,13,0
pimentos,1,1,SixMo,14,0
pimentos,1,1,TwelveMo,15,0
raccoon,1,1,Pre,1,0
raccoon,1,1,Pre,2,0
raccoon,1,1,Pre,3,1
raccoon,1,1,Pre,4,0
raccoon,1,1,Tx,5,1
raccoon,1,1,Tx,6,0
raccoon,1,1,Tx,7,0
raccoon,1,1,Tx,8,1
raccoon,1,1,Tx,9,0
raccoon,1,1,Tx,10,1
raccoon,1,1,Post,11,0
raccoon,1,1,Post,12,0
raccoon,1,1,ThreeMo,13,0
raccoon,1,1,SixMo,14,0
raccoon,1,1,TwelveMo,15,0
strainer,1,1,Pre,1,0
strainer,1,1,Pre,2,0
strainer,1,1,Pre,3,0
strainer,1,1,Pre,4,0
strainer,1,1,Tx,5,1
strainer,1,1,Tx,6,0
strainer,1,1,Tx,7,1
strainer,1,1,Tx,8,1
strainer,1,1,Tx,9,1
strainer,1,1,Tx,10,1
strainer,1,1,Post,11,1
strainer,1,1,Post,12,1
strainer,1,1,ThreeMo,13,0
strainer,1,1,SixMo,14,0
strainer,1,1,TwelveMo,15,0
astronaut,2,1,Pre,1,0
astronaut,2,1,Pre,2,0
astronaut,2,1,Pre,3,0
astronaut,2,1,Pre,4,0
astronaut,2,1,Pre,5,0
astronaut,2,1,Tx,6,1
astronaut,2,1,Tx,7,1
astronaut,2,1,Tx,8,1
astronaut,2,1,Tx,9,1
astronaut,2,1,Tx,10,1
astronaut,2,1,Post,11,1
astronaut,2,1,Post,12,1
astronaut,2,1,ThreeMo,13,0
astronaut,2,1,SixMo,14,1
astronaut,2,1,TwelveMo,15,0
blinds,2,1,Pre,1,0
blinds,2,1,Pre,2,0
blinds,2,1,Pre,3,0
blinds,2,1,Pre,4,0
blinds,2,1,Pre,5,0
blinds,2,1,Tx,6,1
blinds,2,1,Tx,7,1
blinds,2,1,Tx,8,1
blinds,2,1,Tx,9,1
blinds,2,1,Tx,10,1
blinds,2,1,Post,11,1
blinds,2,1,Post,12,1
blinds,2,1,ThreeMo,13,1
blinds,2,1,SixMo,14,1
blinds,2,1,TwelveMo,15,1
chimney,2,1,Pre,1,0
chimney,2,1,Pre,2,0
chimney,2,1,Pre,3,0
chimney,2,1,Pre,4,0
chimney,2,1,Pre,5,0
chimney,2,1,Tx,6,1
chimney,2,1,Tx,7,1
chimney,2,1,Tx,8,1
chimney,2,1,Tx,9,1
chimney,2,1,Tx,10,1
chimney,2,1,Post,11,1
chimney,2,1,Post,12,1
chimney,2,1,ThreeMo,13,0
chimney,2,1,SixMo,14,0
chimney,2,1,TwelveMo,15,0
copperhead snake,2,1,Pre,1,0
copperhead snake,2,1,Pre,2,0
copperhead snake,2,1,Pre,3,0
copperhead snake,2,1,Pre,4,0
copperhead snake,2,1,Pre,5,0
copperhead snake,2,1,Tx,6,1
copperhead snake,2,1,Tx,7,1
copperhead snake,2,1,Tx,8,1
copperhead snake,2,1,Tx,9,1
copperhead snake,2,1,Tx,10,1
copperhead snake,2,1,Post,11,0
copperhead snake,2,1,Post,12,0
copperhead snake,2,1,ThreeMo,13,0
copperhead snake,2,1,SixMo,14,0
copperhead snake,2,1,TwelveMo,15,0
grater,2,1,Pre,1,0
grater,2,1,Pre,2,0
grater,2,1,Pre,3,0
grater,2,1,Pre,4,0
grater,2,1,Pre,5,0
grater,2,1,Tx,6,0
grater,2,1,Tx,7,0
grater,2,1,Tx,8,0
grater,2,1,Tx,9,0
grater,2,1,Tx,10,0
grater,2,1,Post,11,1
grater,2,1,Post,12,0
grater,2,1,ThreeMo,13,0
grater,2,1,SixMo,14,0
grater,2,1,TwelveMo,15,0
lamp,2,1,Pre,1,0
lamp,2,1,Pre,2,0
lamp,2,1,Pre,3,0
lamp,2,1,Pre,4,0
lamp,2,1,Pre,5,0
lamp,2,1,Tx,6,1
lamp,2,1,Tx,7,1
lamp,2,1,Tx,8,1
lamp,2,1,Tx,9,1
lamp,2,1,Tx,10,1
lamp,2,1,Post,11,1
lamp,2,1,Post,12,1
lamp,2,1,ThreeMo,13,1
lamp,2,1,SixMo,14,1
lamp,2,1,TwelveMo,15,0
owl,2,1,Pre,1,0
owl,2,1,Pre,2,0
owl,2,1,Pre,3,0
owl,2,1,Pre,4,0
owl,2,1,Pre,5,0
owl,2,1,Tx,6,1
owl,2,1,Tx,7,1
owl,2,1,Tx,8,1
owl,2,1,Tx,9,1
owl,2,1,Tx,10,0
owl,2,1,Post,11,1
owl,2,1,Post,12,1
owl,2,1,ThreeMo,13,1
owl,2,1,SixMo,14,0
owl,2,1,TwelveMo,15,1
pickle,2,1,Pre,1,0
pickle,2,1,Pre,2,0
pickle,2,1,Pre,3,0
pickle,2,1,Pre,4,1
pickle,2,1,Pre,5,1
pickle,2,1,Tx,6,1
pickle,2,1,Tx,7,1
pickle,2,1,Tx,8,1
pickle,2,1,Tx,9,1
pickle,2,1,Tx,10,1
pickle,2,1,Post,11,1
pickle,2,1,Post,12,1
pickle,2,1,ThreeMo,13,1
pickle,2,1,SixMo,14,0
pickle,2,1,TwelveMo,15,0
referee,2,1,Pre,1,0
referee,2,1,Pre,2,0
referee,2,1,Pre,3,0
referee,2,1,Pre,4,0
referee,2,1,Pre,5,0
referee,2,1,Tx,6,1
referee,2,1,Tx,7,1
referee,2,1,Tx,8,1
referee,2,1,Tx,9,1
referee,2,1,Tx,10,1
referee,2,1,Post,11,1
referee,2,1,Post,12,1
referee,2,1,ThreeMo,13,0
referee,2,1,SixMo,14,0
referee,2,1,TwelveMo,15,1
train,2,1,Pre,1,0
train,2,1,Pre,2,0
train,2,1,Pre,3,0
train,2,1,Pre,4,1
train,2,1,Pre,5,1
train,2,1,Tx,6,1
train,2,1,Tx,7,1
train,2,1,Tx,8,1
train,2,1,Tx,9,1
train,2,1,Tx,10,1
train,2,1,Post,11,1
train,2,1,Post,12,1
train,2,1,ThreeMo,13,1
train,2,1,SixMo,14,1
train,2,1,TwelveMo,15,1
avocado,3,1,Pre,1,0
avocado,3,1,Pre,2,0
avocado,3,1,Pre,3,1
avocado,3,1,Pre,4,1
avocado,3,1,Pre,5,1
avocado,3,1,Pre,6,0
avocado,3,1,Tx,7,1
avocado,3,1,Tx,8,1
avocado,3,1,Tx,9,1
avocado,3,1,Tx,10,0
avocado,3,1,Post,11,1
avocado,3,1,Post,12,1
avocado,3,1,ThreeMo,13,1
avocado,3,1,SixMo,14,1
avocado,3,1,TwelveMo,15,1
bricks,3,1,Pre,1,0
bricks,3,1,Pre,2,0
bricks,3,1,Pre,3,0
bricks,3,1,Pre,4,0
bricks,3,1,Pre,5,0
bricks,3,1,Pre,6,0
bricks,3,1,Tx,7,0
bricks,3,1,Tx,8,1
bricks,3,1,Tx,9,1
bricks,3,1,Tx,10,1
bricks,3,1,Post,11,1
bricks,3,1,Post,12,1
bricks,3,1,ThreeMo,13,0
bricks,3,1,SixMo,14,1
bricks,3,1,TwelveMo,15,0
clamp,3,1,Pre,1,0
clamp,3,1,Pre,2,0
clamp,3,1,Pre,3,0
clamp,3,1,Pre,4,0
clamp,3,1,Pre,5,0
clamp,3,1,Pre,6,0
clamp,3,1,Tx,7,1
clamp,3,1,Tx,8,1
clamp,3,1,Tx,9,1
clamp,3,1,Tx,10,1
clamp,3,1,Post,11,1
clamp,3,1,Post,12,1
clamp,3,1,ThreeMo,13,1
clamp,3,1,SixMo,14,0
clamp,3,1,TwelveMo,15,0
cow,3,1,Pre,1,0
cow,3,1,Pre,2,0
cow,3,1,Pre,3,0
cow,3,1,Pre,4,0
cow,3,1,Pre,5,0
cow,3,1,Pre,6,0
cow,3,1,Tx,7,1
cow,3,1,Tx,8,1
cow,3,1,Tx,9,1
cow,3,1,Tx,10,1
cow,3,1,Post,11,1
cow,3,1,Post,12,1
cow,3,1,ThreeMo,13,1
cow,3,1,SixMo,14,1
cow,3,1,TwelveMo,15,1
grapes,3,1,Pre,1,0
grapes,3,1,Pre,2,0
grapes,3,1,Pre,3,0
grapes,3,1,Pre,4,0
grapes,3,1,Pre,5,0
grapes,3,1,Pre,6,0
grapes,3,1,Tx,7,1
grapes,3,1,Tx,8,1
grapes,3,1,Tx,9,1
grapes,3,1,Tx,10,1
grapes,3,1,Post,11,1
grapes,3,1,Post,12,1
grapes,3,1,ThreeMo,13,1
grapes,3,1,SixMo,14,1
grapes,3,1,TwelveMo,15,0
calendar,3,1,Pre,1,0
calendar,3,1,Pre,2,0
calendar,3,1,Pre,3,0
calendar,3,1,Pre,4,0
calendar,3,1,Pre,5,0
calendar,3,1,Pre,6,0
calendar,3,1,Tx,7,1
calendar,3,1,Tx,8,1
calendar,3,1,Tx,9,1
calendar,3,1,Tx,10,0
calendar,3,1,Post,11,0
calendar,3,1,Post,12,1
calendar,3,1,ThreeMo,13,0
calendar,3,1,SixMo,14,0
calendar,3,1,TwelveMo,15,0
pan,3,1,Pre,1,0
pan,3,1,Pre,2,1
pan,3,1,Pre,3,0
pan,3,1,Pre,4,0
pan,3,1,Pre,5,0
pan,3,1,Pre,6,0
pan,3,1,Tx,7,1
pan,3,1,Tx,8,1
pan,3,1,Tx,9,1
pan,3,1,Tx,10,1
pan,3,1,Post,11,1
pan,3,1,Post,12,1
pan,3,1,ThreeMo,13,1
pan,3,1,SixMo,14,1
pan,3,1,TwelveMo,15,0
pitcher,3,1,Pre,1,0
pitcher,3,1,Pre,2,0
pitcher,3,1,Pre,3,0
pitcher,3,1,Pre,4,0
pitcher,3,1,Pre,5,0
pitcher,3,1,Pre,6,0
pitcher,3,1,Tx,7,1
pitcher,3,1,Tx,8,0
pitcher,3,1,Tx,9,1
pitcher,3,1,Tx,10,1
pitcher,3,1,Post,11,1
pitcher,3,1,Post,12,1
pitcher,3,1,ThreeMo,13,0
pitcher,3,1,SixMo,14,0
pitcher,3,1,TwelveMo,15,0
neosporin,3,1,Pre,1,0
neosporin,3,1,Pre,2,0
neosporin,3,1,Pre,3,0
neosporin,3,1,Pre,4,0
neosporin,3,1,Pre,5,0
neosporin,3,1,Pre,6,0
neosporin,3,1,Tx,7,1
neosporin,3,1,Tx,8,1
neosporin,3,1,Tx,9,0
neosporin,3,1,Tx,10,1
neosporin,3,1,Post,11,1
neosporin,3,1,Post,12,1
neosporin,3,1,ThreeMo,13,1
neosporin,3,1,SixMo,14,1
neosporin,3,1,TwelveMo,15,0
turtle,3,1,Pre,1,0
turtle,3,1,Pre,2,0
turtle,3,1,Pre,3,0
turtle,3,1,Pre,4,1
turtle,3,1,Pre,5,0
turtle,3,1,Pre,6,0
turtle,3,1,Tx,7,1
turtle,3,1,Tx,8,1
turtle,3,1,Tx,9,1
turtle,3,1,Tx,10,0
turtle,3,1,Post,11,1
turtle,3,1,Post,12,1
turtle,3,1,ThreeMo,13,0
turtle,3,1,SixMo,14,0
turtle,3,1,TwelveMo,15,1
peach,4,1,Pre,1,0
peach,4,1,Pre,2,0
peach,4,1,Pre,3,0
peach,4,1,Pre,4,0
peach,4,1,Pre,5,0
peach,4,1,Pre,6,1
peach,4,1,Pre,7,0
peach,4,1,Tx,8,1
peach,4,1,Tx,9,1
peach,4,1,Tx,10,1
peach,4,1,Post,11,1
peach,4,1,Post,12,1
peach,4,1,ThreeMo,13,0
peach,4,1,SixMo,14,1
peach,4,1,TwelveMo,15,0
button,4,1,Pre,1,0
button,4,1,Pre,2,0
button,4,1,Pre,3,0
button,4,1,Pre,4,1
button,4,1,Pre,5,0
button,4,1,Pre,6,0
button,4,1,Pre,7,0
button,4,1,Tx,8,1
button,4,1,Tx,9,1
button,4,1,Tx,10,1
button,4,1,Post,11,1
button,4,1,Post,12,1
button,4,1,ThreeMo,13,1
button,4,1,SixMo,14,1
button,4,1,TwelveMo,15,0
possum,4,1,Pre,1,0
possum,4,1,Pre,2,0
possum,4,1,Pre,3,0
possum,4,1,Pre,4,0
possum,4,1,Pre,5,1
possum,4,1,Pre,6,0
possum,4,1,Pre,7,0
possum,4,1,Tx,8,1
possum,4,1,Tx,9,1
possum,4,1,Tx,10,0
possum,4,1,Post,11,1
possum,4,1,Post,12,1
possum,4,1,ThreeMo,13,0
possum,4,1,SixMo,14,0
possum,4,1,TwelveMo,15,0
crane,4,1,Pre,1,0
crane,4,1,Pre,2,0
crane,4,1,Pre,3,0
crane,4,1,Pre,4,0
crane,4,1,Pre,5,1
crane,4,1,Pre,6,0
crane,4,1,Pre,7,0
crane,4,1,Tx,8,1
crane,4,1,Tx,9,1
crane,4,1,Tx,10,1
crane,4,1,Post,11,1
crane,4,1,Post,12,1
crane,4,1,ThreeMo,13,1
crane,4,1,SixMo,14,1
crane,4,1,TwelveMo,15,0
hammock,4,1,Pre,1,0
hammock,4,1,Pre,2,0
