Subj,Form,Target,Block,Trial,Accuracy,NewAcc,AnsCat,ParGroup,Grade,Months,IQ,Handedness,Gender
1,A,E,1,1,1,1,Occu,ASD,1,86,15,R,M
1,A,G,1,2,1,1,Nouns,ASD,1,86,15,R,M
1,A,M,1,3,1,1,Nouns,ASD,1,86,15,R,M
1,A,C,1,4,1,1,Personal names,ASD,1,86,15,R,M
1,A,B,1,5,1,1,Nouns,ASD,1,86,15,R,M
1,A,C,2,1,1,1,Personal names,ASD,1,86,15,R,M
1,A,M,2,2,1,1,Nouns,ASD,1,86,15,R,M
1,A,E,2,3,1,1,Occu,ASD,1,86,15,R,M
1,A,B,2,4,1,1,Occu + name,ASD,1,86,15,R,M
1,A,G,2,5,1,1,Nouns,ASD,1,86,15,R,M
2,B,C,1,1,1,1,Personal names,ASD,1,79,34,R,M
2,B,M,1,2,1,1,Nouns,ASD,1,79,34,R,M
2,B,E,1,3,1,1,Kin terms,ASD,1,79,34,R,M
2,B,B,1,4,1,1,Nouns,ASD,1,79,34,R,M
2,B,G,1,5,1,1,Nouns,ASD,1,79,34,R,M
2,B,B,2,1,1,1,Nouns,ASD,1,79,34,R,M
2,B,E,2,2,1,1,Kin terms,ASD,1,79,34,R,M
2,B,C,2,3,1,1,Personal names,ASD,1,79,34,R,M
2,B,G,2,4,1,1,Nouns,ASD,1,79,34,R,M
2,B,M,2,5,1,1,Nouns,ASD,1,79,34,R,M
3,C,B,1,1,1,1,Nouns,ASD,1,81,20,R,M
3,C,E,1,2,1,1,Occu,ASD,1,81,20,R,M
3,C,C,1,3,1,1,Personal names,ASD,1,81,20,R,M
3,C,G,1,4,1,1,Nouns,ASD,1,81,20,R,M
3,C,M,1,5,1,1,Nouns,ASD,1,81,20,R,M
3,C,E,2,1,1,1,Kin terms,ASD,1,81,20,R,M
3,C,G,2,2,1,1,Nouns,ASD,1,81,20,R,M
3,C,M,2,3,1,1,Nouns,ASD,1,81,20,R,M
3,C,C,2,4,1,1,Personal names,ASD,1,81,20,R,M
3,C,B,2,5,1,1,Nouns,ASD,1,81,20,R,M
4,A,E,1,1,0,0,Personal names,ASD,1,93,17,R,M
4,A,G,1,2,1,1,Nouns,ASD,1,93,17,R,M
4,A,M,1,3,1,1,Nouns,ASD,1,93,17,R,M
4,A,C,1,4,1,1,Personal names,ASD,1,93,17,R,M
4,A,B,1,5,1,1,Nouns,ASD,1,93,17,R,M
4,A,C,2,1,1,1,Personal names,ASD,1,93,17,R,M
4,A,M,2,2,1,1,Nouns,ASD,1,93,17,R,M
4,A,E,2,3,0,0,Personal names,ASD,1,93,17,R,M
4,A,B,2,4,1,1,Nouns,ASD,1,93,17,R,M
4,A,G,2,5,1,1,Nouns,ASD,1,93,17,R,M
6,C,B,1,1,1,1,Others,ASD,2,106,17,R,M
6,C,E,1,2,1,1,Occu,ASD,2,106,17,R,M
6,C,C,1,3,1,1,Personal names,ASD,2,106,17,R,M
6,C,G,1,4,1,1,Nouns,ASD,2,106,17,R,M
6,C,M,1,5,1,1,Nouns,ASD,2,106,17,R,M
6,C,E,2,1,1,1,Occu,ASD,2,106,17,R,M
6,C,G,2,2,1,1,Nouns,ASD,2,106,17,R,M
6,C,M,2,3,1,1,Nouns,ASD,2,106,17,R,M
6,C,C,2,4,1,1,Personal names,ASD,2,106,17,R,M
6,C,B,2,5,1,1,Nouns,ASD,2,106,17,R,M
7,A,E,1,1,1,1,Occu,ASD,2,106,32,R,M
7,A,G,1,2,1,1,Nouns,ASD,2,106,32,R,M
7,A,M,1,3,0,0,Nouns,ASD,2,106,32,R,M
7,A,C,1,4,1,1,Personal names,ASD,2,106,32,R,M
7,A,B,1,5,1,1,Nouns,ASD,2,106,32,R,M
7,A,C,2,1,1,1,Personal names,ASD,2,106,32,R,M
7,A,M,2,2,1,1,Nouns,ASD,2,106,32,R,M
7,A,E,2,3,1,1,Occu,ASD,2,106,32,R,M
7,A,B,2,4,1,1,Nouns,ASD,2,106,32,R,M
7,A,G,2,5,1,1,Nouns,ASD,2,106,32,R,M
8,B,C,1,1,1,1,Personal names,ASD,2,106,6,R,M
8,B,M,1,2,1,1,Nouns,ASD,2,106,6,R,M
8,B,E,1,3,1,1,Occu,ASD,2,106,6,R,M
8,B,B,1,4,1,1,Nouns,ASD,2,106,6,R,M
8,B,G,1,5,1,1,Nouns,ASD,2,106,6,R,M
8,B,B,2,1,1,1,Nouns,ASD,2,106,6,R,M
8,B,E,2,2,1,1,Occu,ASD,2,106,6,R,M
8,B,C,2,3,1,1,Personal names,ASD,2,106,6,R,M
8,B,G,2,4,1,1,Nouns,ASD,2,106,6,R,M
8,B,M,2,5,1,1,Nouns,ASD,2,106,6,R,M
9,C,B,1,1,1,1,Nouns,ASD,2,103,19,R,M
9,C,E,1,2,1,1,Kin terms,ASD,2,103,19,R,M
9,C,C,1,3,1,1,Personal pronouns,ASD,2,103,19,R,M
9,C,G,1,4,1,1,Nouns,ASD,2,103,19,R,M
9,C,M,1,5,1,1,Nouns,ASD,2,103,19,R,M
9,C,E,2,1,1,1,Kin terms,ASD,2,103,19,R,M
9,C,G,2,2,1,1,Nouns,ASD,2,103,19,R,M
9,C,M,2,3,1,1,Nouns,ASD,2,103,19,R,M
9,C,C,2,4,1,1,Personal pronouns,ASD,2,103,19,R,M
9,C,B,2,5,1,1,Nouns,ASD,2,103,19,R,M
10,A,E,1,1,1,1,Occu,ASD,2,104,39,R,M
10,A,G,1,2,1,1,Nouns,ASD,2,104,39,R,M
10,A,M,1,3,1,1,Nouns,ASD,2,104,39,R,M
10,A,C,1,4,1,1,Reflexive pronouns,ASD,2,104,39,R,M
10,A,B,1,5,1,1,Nouns,ASD,2,104,39,R,M
10,A,C,2,1,1,1,Reflexive pronouns,ASD,2,104,39,R,M
10,A,M,2,2,1,1,Nouns,ASD,2,104,39,R,M
10,A,E,2,3,1,1,Kin terms,ASD,2,104,39,R,M
10,A,B,2,4,1,1,Nouns,ASD,2,104,39,R,M
10,A,G,2,5,1,1,Nouns,ASD,2,104,39,R,M
11,A,E,1,1,1,1,Kin terms,ASD,3,104,33,R,F
11,A,G,1,2,1,1,Nouns,ASD,3,104,33,R,F
11,A,M,1,3,1,1,Nouns,ASD,3,104,33,R,F
11,A,C,1,4,1,1,Personal names,ASD,3,104,33,R,F
11,A,B,1,5,1,1,Nouns,ASD,3,104,33,R,F
11,A,C,2,1,1,1,Personal names,ASD,3,104,33,R,F
11,A,M,2,2,1,1,Nouns,ASD,3,104,33,R,F
11,A,E,2,3,1,1,Kin terms,ASD,3,104,33,R,F
11,A,B,2,4,1,1,Nouns,ASD,3,104,33,R,F
11,A,G,2,5,0,0,Nouns,ASD,3,104,33,R,F
12,B,C,1,1,1,1,Personal names,ASD,3,138,13,L,M
12,B,M,1,2,1,1,Nouns,ASD,3,138,13,L,M
12,B,E,1,3,1,1,Kin terms,ASD,3,138,13,L,M
12,B,B,1,4,1,1,Nouns,ASD,3,138,13,L,M
12,B,G,1,5,1,1,Nouns,ASD,3,138,13,L,M
12,B,B,2,1,1,1,Nouns,ASD,3,138,13,L,M
12,B,E,2,2,1,1,Kin terms,ASD,3,138,13,L,M
12,B,C,2,3,1,1,Kin + Name,ASD,3,138,13,L,M
12,B,G,2,4,1,1,Nouns,ASD,3,138,13,L,M
12,B,M,2,5,1,1,Nouns,ASD,3,138,13,L,M
13,C,B,1,1,1,1,Nouns,ASD,4,114,45,R,M
13,C,E,1,2,0,W,W,ASD,4,114,45,R,M
