Subj,Form,Item,Phase,Block,Word,Target,Person,Answer,Accuracy,Repeat,ParGroup,Age,Months,SSIQ,Gender,Grade
1,A,1,1,1,kha:,E,1,B,0,2,ASD,7,84,118.3979218,M,0
1,A,2,1,1,khaw,B,3,C,0,0,ASD,7,84,118.3979218,M,0
1,A,3,1,1,khun,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,4,1,2,khaw,B,3,E,0,0,ASD,7,84,118.3979218,M,0
1,A,5,1,2,khun,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,6,1,2,kha:,E,1,B,0,0,ASD,7,84,118.3979218,M,0
1,A,7,2,1,khun,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,8,2,1,khaw,B,3,E,0,0,ASD,7,84,118.3979218,M,0
1,A,9,2,1,phom,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,10,2,2,khaw,B,3,E,0,0,ASD,7,84,118.3979218,M,0
1,A,11,2,2,phom,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,12,2,2,khun,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,13,3,1,phom,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,14,3,1,th7:,G,3,C,0,0,ASD,7,84,118.3979218,M,0
1,A,15,3,1,phi:,E,1,E,1,0,ASD,7,84,118.3979218,M,0
1,A,16,3,2,th7:,G,3,C,0,0,ASD,7,84,118.3979218,M,0
1,A,17,3,2,phi:,E,1,E,1,0,ASD,7,84,118.3979218,M,0
1,A,18,3,2,phom,C,2,C,1,0,ASD,7,84,118.3979218,M,0
1,A,19,4,1,kha:,E,1,C,0,0,ASD,7,84,118.3979218,M,0
1,A,20,4,1,th7:,G,3,C,0,0,ASD,7,84,118.3979218,M,0
1,A,21,4,1,phi:,E,1,E,1,0,ASD,7,84,118.3979218,M,0
1,A,22,4,2,th7:,G,3,C,0,0,ASD,7,84,118.3979218,M,0
1,A,23,4,2,phi:,E,1,E,1,0,ASD,7,84,118.3979218,M,0
1,A,24,4,2,kha:,E,1,C,0,0,ASD,7,84,118.3979218,M,0
3,C,1,1,1,th7:,G,3,C,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,2,1,1,phi:,E,1,E,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,3,1,1,kha:,E,1,E,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,4,1,2,phi:,E,1,E,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,5,1,2,kha:,E,1,C,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,6,1,2,th7:,G,3,C,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,7,2,1,th7:,G,3,C,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,8,2,1,phi:,E,1,E,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,9,2,1,phom,C,2,E,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,10,2,2,phi:,E,1,G,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,11,2,2,phom,C,2,E,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,12,2,2,th7:,G,3,C,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,13,3,1,khaw,B,3,C,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,14,3,1,phom,C,2,E,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,15,3,1,khun,C,2,C,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,16,3,2,phom,C,2,C,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,17,3,2,khun,C,2,C,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,18,3,2,khaw,B,3,G,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,19,4,1,khaw,B,3,C,0,1,ASD,6.583333333,79,115.5465008,M,0
3,C,20,4,1,khun,C,2,E,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,21,4,1,kha:,E,1,G,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,22,4,2,khun,C,2,C,1,0,ASD,6.583333333,79,115.5465008,M,0
3,C,23,4,2,kha:,E,1,B,0,0,ASD,6.583333333,79,115.5465008,M,0
3,C,24,4,2,khaw,B,3,G,0,0,ASD,6.583333333,79,115.5465008,M,0
4,A,1,1,1,kha:,E,1,G,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,2,1,1,khaw,B,3,G,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,3,1,1,khun,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,4,1,2,khaw,B,3,G,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,5,1,2,khun,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,6,1,2,kha:,E,1,E,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,7,2,1,khun,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,8,2,1,khaw,B,3,E,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,9,2,1,phom,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,10,2,2,khaw,B,3,C,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,11,2,2,phom,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,12,2,2,khun,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,13,3,1,phom,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,14,3,1,th7:,G,3,C,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,15,3,1,phi:,E,1,E,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,16,3,2,th7:,G,3,C,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,17,3,2,phi:,E,1,E,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,18,3,2,phom,C,2,C,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,19,4,1,kha:,E,1,C,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,20,4,1,th7:,G,3,C,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,21,4,1,phi:,E,1,E,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,22,4,2,th7:,G,3,C,0,0,ASD,6.583333333,79,104.5822118,M,0
4,A,23,4,2,phi:,E,1,E,1,0,ASD,6.583333333,79,104.5822118,M,0
4,A,24,4,2,kha:,E,1,C,0,0,ASD,6.583333333,79,104.5822118,M,0
5,A,1,1,1,kha:,E,1,B,0,2,ASD,6.916666667,83,65.10478189,F,0
5,A,2,1,1,khaw,B,3,G,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,3,1,1,khun,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,4,1,2,khaw,B,3,B,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,5,1,2,khun,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,6,1,2,kha:,E,1,G,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,7,2,1,khun,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,8,2,1,khaw,B,3,B,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,9,2,1,nu:,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,10,2,2,khaw,B,3,G,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,11,2,2,nu:,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,12,2,2,khun,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,13,3,1,nu:,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,14,3,1,th7:,G,3,C,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,15,3,1,phi:,E,1,E,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,16,3,2,th7:,G,3,C,0,0,ASD,6.916666667,83,65.10478189,F,0
