Subj,Form,Target,Block,Trial,AnsTarg,Accuracy,AnsCat,AnsCatOrig,ParGroup,Age,Months,SSIQ,Gender
1,A,E,1,1,E,1,Noun,DemN + Point,ASD,7,84,118.3979218,M
1,A,G,1,2,G,1,Noun,DemN + Point,ASD,7,84,118.3979218,M
1,A,C,1,3,C,1,Personal Name,Personal Name,ASD,7,84,118.3979218,M
1,A,B,1,4,B,1,Noun,DemN,ASD,7,84,118.3979218,M
1,A,C,2,5,C,1,Personal Name,Personal Name,ASD,7,84,118.3979218,M
1,A,E,2,6,E,1,Kin + Name,Kin + Name,ASD,7,84,118.3979218,M
1,A,B,2,7,B,1,Noun,DemN,ASD,7,84,118.3979218,M
1,A,G,2,8,G,1,Noun,Noun,ASD,7,84,118.3979218,M
3,C,G,1,1,G,1,Noun,Noun,ASD,6.583333333,79,115.5465008,M
3,C,B,1,2,B,1,Noun,Noun,ASD,6.583333333,79,115.5465008,M
3,C,E,1,3,G,0,Noun,Noun,ASD,6.583333333,79,115.5465008,M
3,C,C,1,4,C,1,Personal Name,Personal Name,ASD,6.583333333,79,115.5465008,M
3,C,E,2,5,E,1,Kin Term,Kin Term,ASD,6.583333333,79,115.5465008,M
3,C,G,2,6,G,1,Noun,Noun,ASD,6.583333333,79,115.5465008,M
3,C,C,2,7,C,1,Personal Name,Personal Name,ASD,6.583333333,79,115.5465008,M
3,C,B,2,8,B,1,Noun,Noun,ASD,6.583333333,79,115.5465008,M
4,A,E,1,1,E,1,Occupational Title,Occupational Title,ASD,6.583333333,79,104.5822118,M
4,A,G,1,2,G,1,Noun,Noun,ASD,6.583333333,79,104.5822118,M
4,A,C,1,3,C,1,Personal Name,Personal Name,ASD,6.583333333,79,104.5822118,M
4,A,B,1,4,B,1,Noun,Noun,ASD,6.583333333,79,104.5822118,M
4,A,C,2,5,C,1,Personal Name,Personal Name,ASD,6.583333333,79,104.5822118,M
4,A,E,2,6,E,1,Kin Term,Kin Term,ASD,6.583333333,79,104.5822118,M
4,A,B,2,7,B,1,Noun,Noun,ASD,6.583333333,79,104.5822118,M
4,A,G,2,8,G,1,Noun,Noun,ASD,6.583333333,79,104.5822118,M
5,A,E,1,1,C,0,Personal Pronoun,Personal Pronoun,ASD,6.916666667,83,65.10478189,F
5,A,G,1,2,G,1,Noun,Noun,ASD,6.916666667,83,65.10478189,F
5,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,ASD,6.916666667,83,65.10478189,F
5,A,B,1,4,B,1,Noun,Noun,ASD,6.916666667,83,65.10478189,F
5,A,C,2,5,C,1,Personal Pronoun,Personal Pronoun,ASD,6.916666667,83,65.10478189,F
5,A,E,2,6,E,1,Occupational Title,Occupational Title,ASD,6.916666667,83,65.10478189,F
5,A,B,2,7,B,1,Noun,Noun,ASD,6.916666667,83,65.10478189,F
5,A,G,2,8,G,1,Noun,Noun,ASD,6.916666667,83,65.10478189,F
6,B,C,1,1,C,1,Personal Name,Personal Name,ASD,7.083333333,85,104.9778002,M
6,B,E,1,2,E,1,Noun,DemN + Point,ASD,7.083333333,85,104.9778002,M
6,B,B,1,3,B,1,Noun,DemN,ASD,7.083333333,85,104.9778002,M
6,B,G,1,4,G,1,Noun,DemN,ASD,7.083333333,85,104.9778002,M
6,B,G,2,5,G,1,Noun,DemN,ASD,7.083333333,85,104.9778002,M
6,B,B,2,6,B,1,Noun,DemN,ASD,7.083333333,85,104.9778002,M
6,B,E,2,7,E,1,Kin + Name,Kin + Name,ASD,7.083333333,85,104.9778002,M
6,B,C,2,8,C,1,Personal Name,Personal Name,ASD,7.083333333,85,104.9778002,M
7,C,G,1,1,G,1,Others,Point,ASD,8.75,105,56.82757391,M
7,C,B,1,2,B,1,Noun,Noun,ASD,8.75,105,56.82757391,M
7,C,E,1,3,NA,0,Withdraw,Withdraw,ASD,8.75,105,56.82757391,M
7,C,C,1,4,NA,0,Withdraw,Withdraw,ASD,8.75,105,56.82757391,M
7,C,E,2,5,NA,0,Withdraw,Withdraw,ASD,8.75,105,56.82757391,M
7,C,G,2,6,G,1,Others,Point,ASD,8.75,105,56.82757391,M
7,C,C,2,7,NA,0,Withdraw,Withdraw,ASD,8.75,105,56.82757391,M
7,C,B,2,8,NA,0,Withdraw,Withdraw,ASD,8.75,105,56.82757391,M
8,A,E,1,1,B,0,Noun,Noun,ASD,9.083333333,109,86.26952368,M
8,A,G,1,2,B,0,Noun,Noun,ASD,9.083333333,109,86.26952368,M
8,A,C,1,3,B,0,Noun,Noun,ASD,9.083333333,109,86.26952368,M
