"sessionID","session","set","participant_variation","setID","id","i.id","response","sample_size","bs_variance","ws_variance"
3,3,5,-0.0539856661082217,15,1,50,0,1,0.25,0.25
6,6,5,0.64617742271894,30,1,102,0,1,0.25,0.25
9,9,5,-0.612437707234534,41,1,135,1,1,0.25,0.25
9,9,5,-0.612437707234534,45,1,142,1,1,0.25,0.25
10,10,5,-0.560675651080146,46,1,143,0,1,0.25,0.25
11,11,5,-0.835962512046452,54,1,163,1,1,0.25,0.25
1,1,5,0.49098470567522,1,2,1,0,1,0.25,0.25
1,1,5,0.49098470567522,1,2,2,0,1,0.25,0.25
1,1,5,0.49098470567522,3,2,7,0,1,0.25,0.25
1,1,5,0.49098470567522,3,2,8,0,1,0.25,0.25
4,4,5,-0.106439084485603,17,2,56,0,1,0.25,0.25
4,4,5,-0.106439084485603,17,2,57,0,1,0.25,0.25
4,4,5,-0.106439084485603,19,2,58,0,1,0.25,0.25
4,4,5,-0.106439084485603,19,2,59,0,1,0.25,0.25
6,6,5,0.64617742271894,29,2,100,0,1,0.25,0.25
6,6,5,0.64617742271894,29,2,101,0,1,0.25,0.25
8,8,5,-0.0635173596021398,38,2,129,0,1,0.25,0.25
8,8,5,-0.0635173596021398,38,2,130,1,1,0.25,0.25
8,8,5,-0.0635173596021398,39,2,131,0,1,0.25,0.25
8,8,5,-0.0635173596021398,39,2,132,0,1,0.25,0.25
8,8,5,-0.0635173596021398,40,2,133,0,1,0.25,0.25
8,8,5,-0.0635173596021398,40,2,134,0,1,0.25,0.25
9,9,5,-0.612437707234534,42,2,136,0,1,0.25,0.25
9,9,5,-0.612437707234534,42,2,137,0,1,0.25,0.25
9,9,5,-0.612437707234534,43,2,138,0,1,0.25,0.25
9,9,5,-0.612437707234534,43,2,139,0,1,0.25,0.25
9,9,5,-0.612437707234534,44,2,140,1,1,0.25,0.25
9,9,5,-0.612437707234534,44,2,141,0,1,0.25,0.25
10,10,5,-0.560675651080146,47,2,144,1,1,0.25,0.25
10,10,5,-0.560675651080146,47,2,145,0,1,0.25,0.25
10,10,5,-0.560675651080146,49,2,149,0,1,0.25,0.25
10,10,5,-0.560675651080146,49,2,150,1,1,0.25,0.25
2,2,5,0.234357520018044,7,3,20,0,1,0.25,0.25
2,2,5,0.234357520018044,7,3,21,0,1,0.25,0.25
2,2,5,0.234357520018044,7,3,22,0,1,0.25,0.25
2,2,5,0.234357520018044,9,3,28,0,1,0.25,0.25
2,2,5,0.234357520018044,9,3,29,0,1,0.25,0.25
2,2,5,0.234357520018044,9,3,30,0,1,0.25,0.25
2,2,5,0.234357520018044,10,3,31,0,1,0.25,0.25
2,2,5,0.234357520018044,10,3,32,0,1,0.25,0.25
2,2,5,0.234357520018044,10,3,33,0,1,0.25,0.25
3,3,5,-0.0539856661082217,12,3,40,0,1,0.25,0.25
3,3,5,-0.0539856661082217,12,3,41,0,1,0.25,0.25
3,3,5,-0.0539856661082217,12,3,42,0,1,0.25,0.25
3,3,5,-0.0539856661082217,14,3,47,0,1,0.25,0.25
3,3,5,-0.0539856661082217,14,3,48,0,1,0.25,0.25
3,3,5,-0.0539856661082217,14,3,49,0,1,0.25,0.25
5,5,5,0.579049227519664,23,3,75,0,1,0.25,0.25
5,5,5,0.579049227519664,23,3,76,0,1,0.25,0.25
5,5,5,0.579049227519664,23,3,77,0,1,0.25,0.25
6,6,5,0.64617742271894,27,3,94,0,1,0.25,0.25
6,6,5,0.64617742271894,27,3,95,0,1,0.25,0.25
