"id","item_type","item_variability","session","response","bs_variance","ws_variance"
1,"Treated",0.0657322219079363,1,1,0.25,0.75
2,"Treated",-0.00413459609549724,1,0,0.25,0.75
3,"Treated",-0.32954624259784,1,0,0.25,0.75
4,"Treated",0.495426747311999,1,0,0.25,0.75
5,"Treated",-0.198685390196218,1,0,0.25,0.75
6,"Untreated",-0.576261792707528,1,0,0.25,0.75
7,"Treated",-0.226449327398103,1,0,0.25,0.75
8,"Untreated",0.764813295847198,1,0,0.25,0.75
9,"Treated",-0.209888340272859,1,0,0.25,0.75
10,"Untreated",-0.0343118937398771,1,0,0.25,0.75
11,"Treated",0.114923318447567,1,0,0.25,0.75
12,"Treated",-0.0594878774806993,1,0,0.25,0.75
13,"Untreated",-0.0223375135149207,1,0,0.25,0.75
14,"Untreated",-0.0855601736707316,1,0,0.25,0.75
15,"Untreated",0.768087452863005,1,1,0.25,0.75
16,"Untreated",0.309231024024419,1,0,0.25,0.75
17,"Treated",0.472829286177692,1,0,0.25,0.75
18,"Treated",-0.469561695342622,1,0,0.25,0.75
19,"Treated",0.727402870572226,1,0,0.25,0.75
20,"Untreated",-0.224091017529319,1,0,0.25,0.75
21,"Untreated",0.15083989203519,1,0,0.25,0.75
22,"Untreated",-0.117958042307132,1,0,0.25,0.75
23,"Treated",0.118527039160493,1,1,0.25,0.75
24,"Treated",0.538233786258509,1,0,0.25,0.75
25,"Untreated",-0.404408339571477,1,0,0.25,0.75
26,"Treated",0.639131255350135,1,1,0.25,0.75
27,"Treated",-0.0666596512141638,1,0,0.25,0.75
28,"Treated",-0.328145604974765,1,0,0.25,0.75
29,"Untreated",0.295214019523829,1,0,0.25,0.75
30,"Untreated",-0.0765351107464446,1,0,0.25,0.75
31,"Untreated",-0.242632566789239,1,0,0.25,0.75
32,"Untreated",-0.596499115817337,1,0,0.25,0.75
33,"Untreated",0.161759849179494,1,0,0.25,0.75
34,"Treated",0.981297915065637,1,0,0.25,0.75
35,"Untreated",-0.788798049723951,1,0,0.25,0.75
36,"Untreated",-0.64815071543543,1,0,0.25,0.75
37,"Treated",0.669947196249819,1,0,0.25,0.75
38,"Treated",0.173825111811728,1,0,0.25,0.75
39,"Untreated",-0.728841152506629,1,0,0.25,0.75
40,"Untreated",0.10529671036609,1,0,0.25,0.75
41,"Treated",-0.199239359023494,1,0,0.25,0.75
42,"Untreated",0.376826963869338,1,0,0.25,0.75
43,"Treated",-0.222016591121928,1,0,0.25,0.75
44,"Untreated",0.729956441829209,1,0,0.25,0.75
45,"Untreated",-0.10208445092981,1,0,0.25,0.75
46,"Treated",-0.273262999574634,1,0,0.25,0.75
47,"Untreated",0.0760609714701379,1,0,0.25,0.75
48,"Treated",0.0472547800153634,1,0,0.25,0.75
49,"Untreated",-0.118543088206238,1,0,0.25,0.75
50,"Treated",-0.251585402283511,1,1,0.25,0.75
51,"Treated",0.187527499821502,1,0,0.25,0.75
52,"Treated",0.327640034776683,1,0,0.25,0.75
53,"Treated",-0.00444350221483514,1,0,0.25,0.75
54,"Untreated",0.0464312849329128,1,1,0.25,0.75
55,"Untreated",-0.624910864882795,1,0,0.25,0.75
56,"Untreated",-0.0245163912641059,1,1,0.25,0.75
57,"Untreated",-1.26028625393631,1,0,0.25,0.75
58,"Treated",-0.075364411723999,1,0,0.25,0.75
59,"Untreated",0.219955053334031,1,0,0.25,0.75
60,"Treated",0.601444474724695,1,0,0.25,0.75
1,"Treated",0.0657322219079363,2,0,0.25,0.75
2,"Treated",-0.00413459609549724,2,0,0.25,0.75
3,"Treated",-0.32954624259784,2,0,0.25,0.75
4,"Treated",0.495426747311999,2,0,0.25,0.75
5,"Treated",-0.198685390196218,2,0,0.25,0.75
6,"Untreated",-0.576261792707528,2,0,0.25,0.75
7,"Treated",-0.226449327398103,2,0,0.25,0.75
8,"Untreated",0.764813295847198,2,0,0.25,0.75
9,"Treated",-0.209888340272859,2,0,0.25,0.75
10,"Untreated",-0.0343118937398771,2,0,0.25,0.75
11,"Treated",0.114923318447567,2,0,0.25,0.75
12,"Treated",-0.0594878774806993,2,0,0.25,0.75
13,"Untreated",-0.0223375135149207,2,0,0.25,0.75
14,"Untreated",-0.0855601736707316,2,1,0.25,0.75
15,"Untreated",0.768087452863005,2,0,0.25,0.75
16,"Untreated",0.309231024024419,2,0,0.25,0.75
17,"Treated",0.472829286177692,2,0,0.25,0.75
18,"Treated",-0.469561695342622,2,0,0.25,0.75
19,"Treated",0.727402870572226,2,0,0.25,0.75
20,"Untreated",-0.224091017529319,2,0,0.25,0.75
21,"Untreated",0.15083989203519,2,0,0.25,0.75
22,"Untreated",-0.117958042307132,2,0,0.25,0.75
23,"Treated",0.118527039160493,2,0,0.25,0.75
24,"Treated",0.538233786258509,2,0,0.25,0.75
25,"Untreated",-0.404408339571477,2,0,0.25,0.75
26,"Treated",0.639131255350135,2,1,0.25,0.75
27,"Treated",-0.0666596512141638,2,0,0.25,0.75
28,"Treated",-0.328145604974765,2,0,0.25,0.75
29,"Untreated",0.295214019523829,2,1,0.25,0.75
30,"Untreated",-0.0765351107464446,2,0,0.25,0.75
31,"Untreated",-0.242632566789239,2,0,0.25,0.75
32,"Untreated",-0.596499115817337,2,0,0.25,0.75
33,"Untreated",0.161759849179494,2,0,0.25,0.75
34,"Treated",0.981297915065637,2,0,0.25,0.75
35,"Untreated",-0.788798049723951,2,0,0.25,0.75
36,"Untreated",-0.64815071543543,2,0,0.25,0.75
37,"Treated",0.669947196249819,2,0,0.25,0.75
38,"Treated",0.173825111811728,2,0,0.25,0.75
39,"Untreated",-0.728841152506629,2,0,0.25,0.75
40,"Untreated",0.10529671036609,2,0,0.25,0.75
41,"Treated",-0.199239359023494,2,1,0.25,0.75
42,"Untreated",0.376826963869338,2,0,0.25,0.75
43,"Treated",-0.222016591121928,2,0,0.25,0.75
44,"Untreated",0.729956441829209,2,0,0.25,0.75
45,"Untreated",-0.10208445092981,2,0,0.25,0.75
46,"Treated",-0.273262999574634,2,0,0.25,0.75
47,"Untreated",0.0760609714701379,2,0,0.25,0.75
48,"Treated",0.0472547800153634,2,0,0.25,0.75
49,"Untreated",-0.118543088206238,2,0,0.25,0.75
50,"Treated",-0.251585402283511,2,0,0.25,0.75
51,"Treated",0.187527499821502,2,1,0.25,0.75
52,"Treated",0.327640034776683,2,0,0.25,0.75
53,"Treated",-0.00444350221483514,2,0,0.25,0.75
54,"Untreated",0.0464312849329128,2,0,0.25,0.75
55,"Untreated",-0.624910864882795,2,0,0.25,0.75
56,"Untreated",-0.0245163912641059,2,0,0.25,0.75
57,"Untreated",-1.26028625393631,2,0,0.25,0.75
58,"Treated",-0.075364411723999,2,0,0.25,0.75
59,"Untreated",0.219955053334031,2,0,0.25,0.75
60,"Treated",0.601444474724695,2,0,0.25,0.75
1,"Treated",0.0657322219079363,3,0,0.25,0.75
2,"Treated",-0.00413459609549724,3,0,0.25,0.75
3,"Treated",-0.32954624259784,3,0,0.25,0.75
